publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
efeab561-0a5b-41ab-b04b-c9b1412cd133	Naoroji Godrej Centre For Plant Research (NGCPR)	https://www.gbif.org/publisher/efeab561-0a5b-41ab-b04b-c9b1412cd133	1994	1876	94.08224674022066	1876	94.08224674022066	0	0.00000000000000	1876	94.08224674022066	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
0db05742-8c11-45d5-bf60-9142f1d4f2b3	Centro de Observación de la Tierra "Hémera"	https://www.gbif.org/publisher/0db05742-8c11-45d5-bf60-9142f1d4f2b3	101	95	94.05940594059406	95	94.05940594059406	0	0.00000000000000	95	94.05940594059406	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
81724943-d4d5-4b72-bfd6-3cfc5725c12a	Fundación Universidad de Bogotá Jorge Tadeo Lozano	https://www.gbif.org/publisher/81724943-d4d5-4b72-bfd6-3cfc5725c12a	74191	67465	90.93421034896416	67465	90.93421034896416	0	0.00000000000000	67465	90.93421034896416	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
63da1b44-176a-4e9b-b418-28fcc182c676	Tecnológico de Antioquia	https://www.gbif.org/publisher/63da1b44-176a-4e9b-b418-28fcc182c676	71074	63413	89.22109350817458	62732	88.26293722036188	681	0.95815628781270	62732	88.26293722036188	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
10c19e49-002c-4b14-8559-5ad143bd4670	Malawi University of Science and Technology	https://www.gbif.org/publisher/10c19e49-002c-4b14-8559-5ad143bd4670	2030	1806	88.96551724137931	0	0.00000000000000	1806	88.96551724137931	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
fe3a573f-7718-4c72-8e17-516adfde2e7b	Specimen Micropublications	https://www.gbif.org/publisher/fe3a573f-7718-4c72-8e17-516adfde2e7b	5502	4834	87.85896037804435	4832	87.82260996001454	2	0.03635041802981	4827	87.73173391494002	0	0.00000000000000	0	0.00000000000000	5	0.09087604507452	0	0.00000000000000
0f1e7a87-5495-4ef5-bbc3-0fd79fad7dc9	Father Saturnino Urios University-Biodiversity Informatics and Research Center (FSUU-BIRC)	https://www.gbif.org/publisher/0f1e7a87-5495-4ef5-bbc3-0fd79fad7dc9	664	581	87.50000000000000	581	87.50000000000000	0	0.00000000000000	581	87.50000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
ec11396a-66ab-4e57-b9c1-a8aff1cb7a1d	Universidad de Ibagué	https://www.gbif.org/publisher/ec11396a-66ab-4e57-b9c1-a8aff1cb7a1d	14895	13012	87.35817388385364	13012	87.35817388385364	0	0.00000000000000	13012	87.35817388385364	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
f8dbeca7-3131-41ab-872f-bfad71041f3f	United States Fish and Wildlife Service	https://www.gbif.org/publisher/f8dbeca7-3131-41ab-872f-bfad71041f3f	96730	83129	85.93921224025638	83129	85.93921224025638	0	0.00000000000000	83129	85.93921224025638	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
23fe61fe-622d-4523-ae45-8c931f22c534	Corporación Centro de Investigación en Palma de Aceite - CENIPALMA	https://www.gbif.org/publisher/23fe61fe-622d-4523-ae45-8c931f22c534	7924	6673	84.21251892983342	6669	84.16203937405351	4	0.05047955577991	6669	84.16203937405351	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
